username,name,status,first_seen,last_seen,removed_at,stints,current_category,baseline_2023_07_30,type,cat,subs,tgid,updated,desc
baisi,白丝即正义,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes,频道,壁纸&图片,164.0K,-1001088679595,2026-08-27,本频道会不定时推送一些绅士老爷们喜闻乐见的福利 闲聊＆报错＆申诉: @nekopara 关联频道: @moepic @nekosc @MagicCabal
BaoZang,宝藏女孩·爱酱,removed,2023-07-30 14:38,2024-12-22 07:13,2024-12-22 16:31,1,,yes,,,,,,
bdpd8,8度频道,removed,2023-07-30 14:38,2023-10-22 03:50,2023-10-29 11:36,1,,yes,,,,,,
bigcrowdev,乌鸦观察,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,1,,yes,,,,,,
biubiubiuchat,小岛电波,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
BiZhiSo,壁纸分享·爱酱,removed,2023-07-30 14:38,2024-12-22 07:13,2024-12-22 16:31,1,,yes,,,,,,
blindgamer,瞎玩菌 #SFW,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,10.8K,-1001174453949,2026-08-25,🕹 聚焦 PC / 主机游戏，分享游戏见闻，晒趣图，赏视频。 🗣 加入玩家群组，一起聊天、组队、吐槽皆可，这里欢迎萌新。 📲投稿 / 私聊请联系 @BG_pm_bot 更多请看置顶信息。
bluebird_channel,青鸟的频道,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes,频道,博客杂谈,7.9K,-1001163920983,2026-08-26,青鸟的日常和吐槽和段子和群友故事
Bookworm_Bibliophile,好书分享频道,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,1,,yes,,,,,,
botmzt,快乐星球 | 妹子图 | 收集器,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes,频道,壁纸&图片,52.9K,-1001109579085,2026-08-27,#美女 #妹子 #精选 #全网 #中文 快乐星球 @imeizi 联系我们 @shoujiqibot 开眼精选 @Kaiyan 所有资源出自互联网收集整理，本频道不参与制作，如果侵犯了您的合法权益，请联系我们删除。
breakingnews_t,突发新闻,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,8.4K,-1001080786380,2026-08-26,突发新闻推送服务（简体中文） 非严肃版Channel：https://telegram.me/now_t 深度报道：http://dudu.zhihu.com/circle/167643
btzhi,BT之家btjia电影频道,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
buliang00,不良林,present,2023-07-30 14:38,2026-08-28 16:00,,1,知识学习,yes,频道,知识学习,29.6K,-1001166415755,2026-08-26,科学上网，资源分享 联系不良林(唯一渠道)：bulianglin0@gmail.com
catofyou,貓與你-二次元猫貓,removed,2023-07-30 14:38,2024-12-22 07:13,2024-12-22 16:31,1,,yes,,,,,,
CE_Observe,每日消费电子观察,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,73.6K,-1001117953321,2026-08-25,因广告机器人出没，评论区禁止使用频道身份发言，发送垃圾信息可能会被bot封禁。如果你想匿名、被误封或是在海外生活，欢迎PM @MizuhashiZ 添加白名单 不公正 不客观 不理性 投稿 / 反馈 / 闲聊 / 发傻 / 和动物成为朋友 / USB Type-C 不收快科技的稿源 子频道 @Hearse_Drifting 除上述讨论群及子频道外，本频道与其他频道 / 讨论群无任何关联 头像 shorturl.at/XQE9r
channelhall,频道藏馆,removed,2023-07-30 14:38,2025-04-22 01:50,2025-04-24 16:27,1,,yes,,,,,,
CN_DH,CN导航,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
damosuoyinAdminbot,达摩索引,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,2,,yes,,,,,,
daohangbot,TG群组/频道导航,present,2023-07-30 14:38,2026-08-28 16:00,,2,,yes,机器人,搜群机器人,,881712035,2026-07-11,
dbld007,诗酒趁年华,removed,2023-07-30 14:38,2024-12-22 07:13,2024-12-22 16:31,1,,yes,,,,,,
dh2345_bot,【友盟】导航机器人·群组搜索,present,2023-07-30 14:38,2026-08-28 16:00,,2,,yes,机器人,搜群机器人,,1281094933,2026-07-11,
DNSPODT,LoopDNS资讯播报,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,71.2K,-1001320622866,2026-08-26,LoopDNS 综合资讯---简洁，及时，快速，准确 频道: @DNSPODT 电报讨论组: @LoopDNS 撤稿流程: https://t.me/loopdns/107752
douban_read,豆瓣精选,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes,频道,博客杂谈,36.5K,-1001206770471,2026-08-26,感谢支持和关心我们众多读者朋友，我们将从投稿中筛选出真实、善意、公允的内容，努力为大家提供一个真正服务于读者的内容精选。
drawing1024,瘦瘦的绘画世界,present,2023-07-30 14:38,2026-08-28 16:00,,2,博客杂谈,yes,频道,博客杂谈,3.2K,-1001169729536,2026-08-26,记录自己的绘画作品 平时的素描写生、水彩、插画、彩铅手绘等都会分享在这里，欢迎关注。自己另一个树洞频道👉https://t.me/+rvCtIaOWZ1lmNmY1
EnjoyJK,JK精选,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
fakeye,不求甚解,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes,频道,博客杂谈,19.3K,-1001280703189,2026-08-26,👀 在这里分享我日常的所见所思。 by @somkanel 📰 RSS 订阅： https://rss.fakeye.xyz 💻 镜像站： https://channel.fakeye.xyz 📖 博客（每日更新）：https://blog.solazy.me 🎄 帮助频道助力： https://t.me/fakeye?boost ⚠️ 别在评论里发表低智/政治倾向/杠精言论，会被拉黑（关注关系是双向的）。 🚫 本频道不接广告。
FinanceNewsDaily,【华尔街见闻】- 财经时讯 | AI 实时互动,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,54.3K,-1001132332373,2026-08-25,中国领先的金融信息平台，7×24 覆盖全球股市、外汇、债券、商品动态。 ✨ 频道特色 • 📊 AI 自动解读：每条新闻实时生成投资参考 • ❓ 智能问答：使用 /ask 命令深入了解任意资讯 • ⚡ 秒级推送：重要信息第一时间触达 专业 + 智能，让投资决策更高效。 请通过频道左下角的「Direct Message」联系管理
Financial_Express,财经慢报,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,37.3K,-1001375475051,2026-08-25,附属群组 @Financial_Express_Chat 财经慢报是 TG 简中最大的泛财经类资讯新闻频道，实时覆盖大宗外汇全球股票区块链等市场，内容真实中立客观。 部分内容按原文摘自墙内财经媒体并附来源，不代表本频道立场，请客观谨慎看待相关内容，谨防钓鱼误导。部分刷屏内容为现场零延迟文字转录，推送频繁敬请谅解。
flac_file,音乐收藏夹,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
FOCUSTELEGRAMGROUPLINK,电报群组广播,removed,2023-07-30 14:38,2024-12-22 07:13,2024-12-22 16:31,1,,yes,,,,,,
FoolishTraceWind,Foolish TraceWind,present,2023-07-30 14:38,2026-08-28 16:00,,1,搞笑趣味,yes,频道,搞笑趣味,16.7K,-1001203808607,2026-08-26,本频道创立于2018年8月12日~ 致力于更新优质有趣的沙雕图，偶尔会发点别的杂七杂八，包含极微量 NSFW 内容。 大多有水印，部分会单独标注来源。 头像是头顶铁锅的频道主自己。 看不懂笑点的图可直接艾特频道主本人进行解析 梦想是给大家在劳累时给大家带来简单的快乐。 真的会倒闭，但绝对不会变质。 在评论区引战，情节严重的将直接封禁并揍你屁股。 相关链接 @FoolishTraceWindChat 本频道讨论群
freeresource,免费资源,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
FriendChCodeList,FriendChCodeList,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
gaomutongxue,擅长搜索的高木同学,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
gaoxiaoshu,搞笑研究所️,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,1,,yes,,,,,,
GDP_sc,GDP_信息安全,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
geekshare,极客分享,present,2023-07-30 14:38,2026-08-28 16:00,,1,资源分享,yes,频道,资源分享,63.9K,-1001517529669,2026-08-28,专注分享各种高质量网站、工具、APP、开源项目等一切好玩的东西🚀，以及偶尔开开车🚗 ✅极客分享2.0 @xgeekshare 📮广告合作 @Geekshare_bot 🌐网站：https://geekshare.org/
gitbig,胖虎の收藏夹,present,2023-07-30 14:38,2026-08-28 16:00,,1,ios资源,yes,频道,iOS资源,86.9K,-1001794251096,2026-08-27,佛系更新，长期维护 频道主: @gitbig_bot 群: @gitbig_chat 机场|节点|vpn|梯子|代理|翻墙|加速器|科学上网|破解|windows|ios|android|mac|bot|苹果|安卓|插件|软件|教程|脚本|音乐
GodlyNews1,Yummy 😋,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,68.2K,-1001184480459,2026-08-26,📰 本频道不定期推送科技数码类新资讯，欢迎关注！ ©️ 发布的内容不代表本频道立场，和你意见不一样的话欢迎在评论区留言表达，但请注意言辞，面斥不雅。 ‼️ 关联群组定期清理不活跃成员和僵尸号，误封请联系管理员。 🔗 博客: https://yummy.best 💬 群组: @GodlyGroup 📬 投稿: @GodlyNewsBot 🪧 广告合作： @yummybest_bot.
gongzhutonghao,公诸同好 | 二次元美图分享 🅥,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes,频道,壁纸&图片,37.5K,-1001771356889,2026-08-27,高质量动漫&二刺螈（二次元）&插画作品分享 讨论群组 @hengjiazhihui 广告合作： @qfblbot 萌哩主站： https://www.moely.link 小红书/bilibili： 萌哩二次元 友情链接： t.me/gongzhutonghao/679 频道导航： t.me/gongzhutonghao/710 赞助我们： afdian.com/a/awaowo Tips：作品标题和来源有超链接，评论区附有原图，点击标签可快速搜索🔍。
goumingdexiaojiejie,小瑜的老婆们,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
hanfubiao,汉服的发情少女 古风,removed,2023-07-30 14:38,2023-10-29 11:36,2023-11-12 15:52,1,,yes,,,,,,
hao1234bot,超级索引,removed,2023-07-30 14:38,2024-05-08 15:48,2024-05-12 14:50,1,,yes,,,,,,
Hao12News,中文TG科技新闻,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
hayami_kiraa,hayami's blog｜日常人间观察,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes,频道,博客杂谈,15.8K,-1001288872278,2026-08-26,一个满足日常好奇心的私人博客。关心科技/人文/艺术/城市公共空间/女性和性别议题/劳工权益/个体叙事/新闻媒体/电影/纪录片/音乐/书/星星 个人网站：https://hayami.typlog.io/ 公众号: Hayami Instagram/Twitter：@hayami_kiraa 微博/b站/小红书/即刻：@早见hayami 讨论组：https://t.me/+WT_fCompIebZup2N
helloworld_1024,🄷🅆 ·資源分享,present,2023-07-30 14:38,2026-08-28 16:00,,1,资源分享,yes,频道,资源分享,59.3K,-1001862158069,2026-08-28,高速訂閱、圈X腳本、蘋果應用 安卓應用、越獄插件、福利資源 投稿-廣告： @hwzy0_bot 交流-群組： @Hello_World_1024
hgofxs,李老斯分享社,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
hmxx_Girls,看妹子照片才是正经事,removed,2023-07-30 14:38,2023-10-29 11:36,2023-11-12 15:52,1,,yes,,,,,,
HouXuApp,后续APP —— 关注、追踪热点新闻,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,4.7K,-1001153921179,2026-08-26,「后续」是一个持续关注、追踪热点事件的新闻工具，我们关注那些引起人们讨论、思考的热点新闻，改变了或者应该改变社会的事件。并将一直跟踪下去，观察并记录其中人物的命运，人们的思考，社会的改变又或是规则的坚固。 于2022年8月下线 12月再次上线 于2023年再次停更 友链 @Yuan_En
iamfinecollect,Fine Girls | 收集器,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
illusory_world,不存在的世界,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes,频道,博客杂谈,10.8K,-1001335298003,2026-08-26,Nano's Personal Channel
imacat,"I'm a cat, mlem",present,2023-07-30 14:38,2026-08-28 16:00,,1,萌宠分享,yes,频道,萌宠分享,15.5K,-1001060285947,2026-08-27,This channel helps you wake up every morning. Animals gifs: @imnotacat Этот канал помогает вам проснуться каждое утро. Контакты: @nakxwest
iosblackteckapp,iOS限免与优质应用推荐,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
iosfulishare,苓妹妹ios资源分享,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
iospremiumapps,iOS优质应用,removed,2023-07-30 14:38,2024-12-22 07:13,2024-12-22 16:31,1,,yes,,,,,,
iOSQuQ,白嫖资源分享-破解软件,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
isaiahsystem,404 KIDS SEE GHOSTS (生产力之王版,present,2023-07-30 14:38,2026-08-28 16:00,,1,资源分享,yes,频道,资源分享,13.5K,-1001407174982,2026-08-27,科技丨社科哲丨泛文化与艺术 Group: @ghosttown666 Contact: @madebyblackstack
iShareGroup,I Share Group,removed,2023-07-30 14:38,2024-10-02 13:46,2024-10-03 05:26,1,,yes,,,,,,
jandan_pic,煎蛋无聊图,present,2023-07-30 14:38,2026-08-28 16:00,,1,搞笑趣味,yes,频道,搞笑趣味,25.2K,-1001076595214,2026-08-26,自动抓取煎蛋首页推荐无聊图及其评论 数据来源: https://jandan.net 更新间隔: 一小时 任何疑问请联系: @iovxw 不接广告！
jialeleya2233,萌图交流～色图也收，不要太过,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
jianjiaoPD,秀儿の科技软件|资源分享社🎀,present,2023-07-30 14:38,2026-08-28 16:00,,2,软件综合,yes,频道,软件综合,119.7K,-1001427801913,2026-08-27,🎯聚焦 科技、软件与AI领域 的优质内容分享 每日精选 各种实用软件、AI工具、GitHub 优质项目、iOS＆安卓（破解）脚本（软件）、4K影视资源与玩机技巧，让探索科技成为生活方式 💬 讨论组： @JianjiaoQun 🔍 频道索引： @TGSearchCNBot 📂 搜索群： @XiuerSearch ☁️ 云盘合集： @XiangxiuNBB 🎬 精品影视： @Oscar_4Kmovies 广告/合作： @XiangxiuerBot 我们不只是搬运资源，更在传递好奇与创造的力量
jike_collection,即刻精选,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes,频道,博客杂谈,35.7K,-1001325205364,2026-08-27,把即刻上最值得看的内容，搬到这里 ✨ X：x.com/jike_collection Created by @i5tar 🚫 不接广告
jingxu6,🍭高清壁纸,present,2023-07-30 14:38,2026-08-28 16:00,,2,壁纸图片,yes,频道,壁纸&图片,5.5K,-1001449969279,2026-08-27,高清壁纸美女模特美图。
junmang,一个军盲,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,17.5K,-1001478182074,2026-08-26,大多数时候只放本频道感兴趣的东西，转载新闻不代表频道对内容的完全赞同。 没有任何其他平台账号，Telegram 相似频道均不是本频道运营。 撕逼谩骂、极端言论将会被删除或封禁。 另一个频道： @tumoduss
junruguqingruchu,似是故人來,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,1,,yes,,,,,,
kanxiaojiejie,看小姐姐,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes,频道,壁纸&图片,11.3K,-1001475740007,2026-08-27,本频道始建于2018年12月10日 每日更新一张图，相信日积月累的力量。 #街拍 #私拍 #私房 #妹子 #福利 #美女 #摄影 #性感 #唯美 #小姐姐 #chinesegirl
kawaii_collection,🐾 可爱の收藏 cute collection,present,2023-07-30 14:38,2026-08-28 16:00,,1,萌宠分享,yes,频道,萌宠分享,6.6K,-1001056679061,2026-08-27,致力于传播快乐 分享一些趣图、萌宠和可爱的东西 NSFW沙雕图友链: @wtmsd
kejiqu,科技&趣闻&杂记,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,36.3K,-1001632084170,2026-08-25,分享有价值、有趣的信息！ 你也可以来投稿，包括但不限于科技新闻、知识、影视娱乐资讯.... 投稿 @kejiqubot 群组 @kejiquchat 合作联络 @SlowDayBot
kiniro_mosaic,不知道起什么名字 Channel,removed,2023-07-30 14:38,2024-09-30 15:12,2024-10-02 13:46,1,,yes,,,,,,
kkaifenxiang,黑科技软件资源分享,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
kuqun_bot,酷群导航,present,2023-07-30 14:38,2026-08-28 16:00,,2,,yes,机器人,搜群机器人,,1750076646,2026-07-11,
landiansub,蓝点网订阅频道,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,43.9K,-1001125882855,2026-08-26,（暂无描述）
laosiji100,美女写真,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
LDList,链接收藏,present,2023-07-30 14:38,2026-08-28 16:00,,1,导航索引,yes,频道,导航索引,42.4K,-1001613383456,2026-08-28,链接收藏 网址导航 评论区规则，包含并不仅限 1、封禁【博彩/赌毒/宗教/政治/键政/黑产/灰产/违法色情/暴力】 2、删除+警告【Aff/隐私】 3、至于NSFW🔞，只允许发送链接，禁止贴图+媒体（删除+警告） 频道使用指南： https://t.me/LDList/1430 目录置顶：https://t.me/LDList/7 下载链接频道 @LinksDownload 群组 @LdFriend 仓库 @LDStores 频道主 @AmeliaKBot 邮箱 LDlist@duck.co
Legado_Channels,发帖测试,present,2023-07-30 14:38,2026-08-28 16:00,,1,软件硬件,yes,频道,软件硬件,1.4K,-1003791058696,2026-03-22,https://t.me/+hrQV-yyXk9EzNjA9
LifeJapan,浮生东京,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
linkpush,电报新群推送,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,1,,yes,,,,,,
LinsBookA,笔记本：Lin's 文字世界 : 个人见闻/B站视频/网络见闻,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes,频道,博客杂谈,8.0K,-1001420767960,2026-08-27,频道始于2019年6月，长期保持不太稳定的持续更新，内容主要以纯文字为主。伴有频道主的个人生活。 附属群聊：查看置顶 个人频道：https://t.me/LinYunChannel 小林的壁纸频道：https://t.me/linyunbook2 （暂停更新） 小林的头像频道：https://t.me/linyunbook4 （暂停更新）
linyunbook2,笔记本：好图收藏与整理：壁纸,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
littlebunnyup,A tiny cute warren,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
love_nice_girl,少女一顾倾人城,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes,频道,壁纸&图片,10.1K,-1001362277051,2026-08-27,https://nicegirl.in Share the beauty daily I heard that those who yearn for beauty will live a long life 🤪 All images are in original quality Welcome to Follow Retweet Comment Contribute 每日分享美好 听说向往美好的都能长命百岁哟🤪 所有图片均为原图画质 欢迎关注 转发 评论 供稿 SFW
LptTech,AI中文社区,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,35.6K,-1001875984557,2026-08-25,AI一年，人间十年 ✏️ 投稿 @FreonLiquid 🏂 频道 https://t.me/LptTech 📻 Discord https://discord.gg/3ggyJ8SV4F #chatGPT #DeepSeek #OpenAI #AI #人工智能
lychee_wood,荔枝木,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,17.8K,-1001119983390,2026-08-25,这个世界很复杂。 我们尝试去与复杂性共存，是为了更加美好的明天。 由于水平有限，难免有错误和疏漏，请读者进行批评指正。 购物链接为 Aff Link，各位的购买将会用于继续支持本频道创作。 本频道不是专业新闻媒体，无法保证所有消息的真实性和时效性，各位看官看个乐就行，所有消息一律当可信度存疑处理，感谢合作。
mactalk,卖桃者说,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
MBZFXS,漫步者分享社,removed,2023-07-30 14:38,2024-08-25 13:56,2024-09-01 02:47,1,,yes,,,,,,
meinv1916,仙女坊,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
meizitu3,朱颜别镜 | 妹子图 | 美女图,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes,频道,壁纸&图片,49.1K,-1001604423588,2026-08-27,"全网美女,妹子图收藏 最是人间留不住,朱颜辞镜花辞树 美女 妹子 写真 汉服 美图 高清 少女 合作推广联系 @meizitu333_bot 频道不出，别被骗子骗"
meowTGbot,TG喵,removed,2023-07-30 14:38,2024-11-04 10:35,2024-11-04 10:40,2,,yes,,,,,,
miaowu,每日无数猫,present,2023-07-30 14:38,2026-08-28 16:00,,1,萌宠分享,yes,频道,萌宠分享,19.9K,-1001021086777,2026-08-27,投稿请发至投稿机器人 @miaowu_submission_bot 有问题请戳管理 @pikameow @HCT_Nekobot 让我们打造一个全是猫的世界！ฅ^•ﻌ•^ฅ 友链：狗狗频道 @wushuwang 兔兔频道 @pyon_channel
MikuArt,Miku Art,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
mikuri520,BennyThink's Blog,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes,频道,博客杂谈,12.2K,-1001120455085,2026-08-26,周末晒猫猫。
misakatech,科技圈的日常,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,18.2K,-1001077529324,2026-08-26,科技圈内的大事小事 吹水群: @UntitledGroup
moemeizi,萌妹子聚集地,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
moepic,萌图志,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes,频道,壁纸&图片,11.6K,-1001056812258,2026-08-27,本频道会不定时推送一些二次元插画，请注意 #NSFW 内容 闲聊&报错&申诉: @nekopara 关联频道: @baisi @nekosc @MagicCabal
moesland,绝对萌域,removed,2023-07-30 14:38,2023-10-29 11:36,2023-11-12 15:52,1,,yes,,,,,,
Mp3_999,音乐云,removed,2023-07-30 14:38,2026-08-18 08:50,2026-08-21 16:00,1,,yes,,,,,,
MTXFXS,漫天星分享社-破解软件,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
Mzitu,妹纸图,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
NewlearnerChannel,Newlearnerの自留地,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,66.6K,-1001375282077,2026-08-25,🆕 不定期推送 IT 相关资讯，欢迎关注！ 👥 博客群&投稿群&交流群: @NewlearnerGroup 📩 投稿请私信 @newlearner_pm_bot 🔍 频道内容关键词索引 Bot: @newlearner_search_bot * 未经授权或标注来源，不得转载本频道内容
NEWSPJAPK,💬 60秒早间阅读,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes,频道,资讯新闻,18.6K,-1001152951141,2026-08-26,合作 @PJapkadminBot
NyarimeW,来杯奶昔,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
onesees,一览,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
OOAPK,破解软件分享频道,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
opencfdchannel,开源社区,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
ovo_123,萌图_v2,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes,,,,,,
