Channel name,Handle,t.me link,Type,TGNAV category,"Subscribers (TGNAV, 2026-08-29)",Status on TGNAV,First listed on TGNAV,Last listed on TGNAV,Telegram ID,TGNAV updated,Why flagged,Description (TGNAV)
Naruto 频道推荐 👍👍👍,@achansp,https://t.me/achansp,频道,导航索引,23200,live,2026-07-15,2026-08-28,-1002043852299,2026-08-28,,进来先看顶置 简介：致力于分享各种各样的中文频道，也欢迎大家向小伙伴们推荐本频道。 投稿/互推/商务合作： @Narutopd_bot
Ac-Wiki | 真·青年大学习,@acwiki,https://t.me/acwiki,频道,知识学习,3600,live,2026-07-15,2026-08-28,-1002265158210,2026-08-26,,学习·成长 高等教育学社基础知识开源建设工程 属于大学生群体的真·青年大学习 Discord：https://discord.gg/SHH5z8hZA 项目主页：https://github.com/Ac-Wiki/Ac-Wiki QQ 群：860675581 如被误封，请私聊 @ztm0929
AdClose Official,@adclose,https://t.me/adclose,频道,iOS资源,12100,live,2026-07-15,2026-08-28,-1002003426322,2026-08-27,,发布模块更新 AdClose 是一个基于Xposed框架的Android广告屏蔽工具，致力于提供一个无广告的应用浏览体验，旨在优化用户体验并减少干扰。请在LSPosed框架环境中使用。
Telegram 分组共享,@addlist_x,https://t.me/addlist_x,频道,导航索引,7000,live,2026-07-15,2026-08-28,-1001824568454,2026-08-28,,分享共享 分组/文件夹 投稿请使用：私聊直通消息
审美TV,@aestheticctv,https://t.me/aestheticctv,频道,壁纸&图片,4400,live,2026-07-15,2026-08-28,-1001646539426,2026-08-27,,审美鉴赏，理性思辨。 入群交流 https://t.me/AestheticssGroup 内容投稿 @BetweenAestheticsBot 解封联系 @uniever
枫叶の破解软件频道,@afengye,https://t.me/afengye,频道,iOS资源,12200,live,2026-07-15,2026-08-28,-1002231714005,2026-08-27,,（暂无描述）
阿福,@afoolrobot,https://t.me/afoolrobot,,,,removed,2025-02-05,2026-07-08,,,,
AI Copilot,@ai_copilot_channel,https://t.me/ai_copilot_channel,频道,资讯新闻,10400,live,2026-07-15,2026-08-28,-1001852030881,2026-08-25,,这是一个关于 AI 的非营利频道。 This is a non-profit channel about AI. by @cnpcmx
ChatGPT / AI新闻聚合,@ai_news_cn,https://t.me/ai_news_cn,频道,资讯新闻,21400,live,2026-07-15,2026-08-28,-1001809784088,2026-08-26,,"https://t.me/AI_News_CN 📈主流AI服务状态页通知 | 🆕汇集全网ChatGPT/AI新闻 #AI #ChatGPT 🔙备用群 https://t.me/gpt345 ✨BEST AI中转 https://api.oaibest.com 2.8折起 支持OpenAI, Claude code, Gemini,Grok, Deepseek, Midjourney, 文件上传分析 Buy ads: https://telega.io/c/AI_News_CN"
AI绘画｜AI视频 | AI音乐,@AI_Pintura,https://t.me/AI_Pintura,频道,壁纸&图片,32900,live,2023-07-30,2026-08-28,-1001911445327,2026-08-27,,分享AI绘画、AI视频相关资源与技巧。同时也会分享图像处理与视频处理相关的资源与技巧。
AI探索指南,@aigc1024,https://t.me/aigc1024,频道,资讯新闻,36700,live,2026-07-15,2026-08-28,-1001872719322,2026-08-25,,关于AIGC人工智能、思维方式、知识拓展，能力提升等。投稿/合作： @inside1024_bot AIGC 领域的最新工具、开源项目以及行业大事件
热门游戏资源,@aipojujlb,https://t.me/aipojujlb,,,,removed,2025-02-16,2026-07-08,,,,
#推特食堂,@aiqing,https://t.me/aiqing,频道,博客杂谈,749,live,2026-07-15,2026-08-28,-1001173519953,2026-08-27,,半机器半人肉挖掘筛选 #推特食堂 tweets 请使用 @CaipuBot 搜索频道内容，搜菜名、食材名都可以。 #recipes #菜谱 #厨房 #cooking #twitter #kitchen #烹饪 同套路频道： @cankaoshu ，存放书
aiso中文搜索🔍,@aiso,https://t.me/aiso,机器人,搜群机器人,,live,2024-11-04,2026-08-28,6191807610,2026-07-11,,
Alist使用交流,@alist_chat,https://t.me/alist_chat,群组,软件社群,21900,live,2026-07-15,2026-08-28,-1001762037220,2026-08-28,,（暂无描述）
阿里、夸克、百度网盘4K影视资源,@Aliyun_4K_Movies,https://t.me/Aliyun_4K_Movies,频道,影音资源,214900,live,2023-07-30,2026-08-28,-1001674292882,2026-08-26,,欢迎你来到4K影视频道，频道管理都是影视爱好者，主要分享以4K画质为主的电影、电视剧、纪录片、动画等影视资源。当然也有其他画质资源：如1080P、720P的稀缺资源。
阿里云盘发布频道,@Aliyundrive_Share_Channel,https://t.me/Aliyundrive_Share_Channel,,,,removed,2023-07-30,2024-12-22,,,,
阿里云盘资源 Bot,@AliYunPanBot,https://t.me/AliYunPanBot,机器人,资源搜索,,live,2025-02-05,2026-08-28,1942296514,2026-07-11,,
阿里云盘搜索机器人🤖️,@aliyunshare_bot,https://t.me/aliyunshare_bot,机器人,资源搜索,,live,2025-02-05,2026-08-28,2101675070,2026-07-11,,
大雾弥漫,@allmist,https://t.me/allmist,频道,博客杂谈,4800,live,2026-07-15,2026-08-28,-1001975933307,2026-08-26,,个人收藏、互联网与碎碎念。
阿里巴巴影业集团™ 粉丝群,@alyd_g,https://t.me/alyd_g,群组,影音资源,10300,live,2024-09-30,2026-08-28,-1001600892888,2026-08-28,,Exchange some thoughts about Alibaba Pictures.
APP喵-阿喵科技资源共享,@amiaoapp,https://t.me/amiaoapp,,,,removed,2026-06-14,2026-07-08,,,,
安卓精选 | 破解软件,@android_mod_featured,https://t.me/android_mod_featured,频道,软件综合,18200,live,2026-07-15,2026-08-28,-1002011925394,2026-08-27,,专注分享 电报破解版 | Plus Messenger 破解版 以及其他精选的破解软件 广告投放 @hotvdbot
Android Dev,@AndroidDevCn,https://t.me/AndroidDevCn,,,,removed,2024-09-30,2026-07-08,,,,
Anime Cute Theme,@animecuteth,https://t.me/animecuteth,频道,电报入门,20100,live,2026-07-15,2026-08-28,-1001454374127,2026-08-28,,Only For Android🐻 🍭Stickers Check Pinned Messages For Kpop Theme👉 @exoltheme
NEP.Anime | 动画仓库,@AnimeNep,https://t.me/AnimeNep,频道,影音资源,161100,live,2023-07-30,2026-08-28,-1001216816802,2026-08-26,,涅普涅普的动画仓库。(简/繁/日) 频道机器人会抓取各大BT站的新番更新并自动上传发布。（原档，无二压） *上传的动画可以在Tg中直接播放，也可以下载后播放 *服务器抽风的时候可能会出现更新延迟，如有问题请大力戳 @rkiorbot 索引: t.me/AnimeNep/21206 动画搜索&新番推送: @AnimeNepbot @Animenep_helper_bot 建议&报错&吐槽: @rkiorbot 公告&索引&讨论群: @roocc
AnimerCN Library 中文动漫库,@animercn,https://t.me/animercn,频道,影音资源,11700,live,2026-07-15,2026-08-28,-1001827195909,2026-08-26,,每季最新动漫汇总 @AnimerCN_NEW，更多过往动漫 @AnimerCN，欢迎来聊天群玩 @AnimerCNchat，如发现问题可群里反应，动漫搜索: cutt.ly/AnimerCN
反频道马甲 Bot,@AntiChannelSpammersBot,https://t.me/AntiChannelSpammersBot,机器人,群组管理,,live,2025-02-05,2026-08-28,5071345712,2026-07-11,,
Anx Discussion,@anxreaderdiscussion,https://t.me/anxreaderdiscussion,群组,软件社群,470,live,2026-07-15,2026-08-28,-1002084130738,2026-08-28,,（暂无描述）
APK Downloader,@apkdl_bot,https://t.me/apkdl_bot,机器人,文件下载,,live,2025-02-05,2026-08-28,73650912,2026-07-11,,
NASA每日天文图片 APOD,@apod_hans,https://t.me/apod_hans,频道,壁纸&图片,5100,live,2026-07-15,2026-08-28,-1001458774381,2026-08-27,,每日从NASA的APOD中文分站抓取内容并推送。
AppSnitch · 器,@app_snitch,https://t.me/app_snitch,频道,资源分享,3400,live,2026-07-15,2026-08-28,-1001863304053,2026-08-27,,只推送筛选过个人觉得好用的APP和方法论 趣站/资源分享/效率提升/学习成长 ✉️投稿 | @writeferebot 🤝推广&合作 | @SnitchTransit_bot 👨群组 | @favsnitch 📖好书推荐 | @booksnitch ✒️我的博客 | readfere.com Tools for Thought！
APPDO 数字生活指南,@AppDoDo,https://t.me/AppDoDo,频道,软件综合,40300,live,2023-07-30,2026-08-28,-1001181224837,2026-08-27,,💡互联网/数码/App/羊毛/相机/数字指南 📨商务联系：@appdo_bot （唯一，谨防诈骗） 📰独立网站：appdo.xyz 🧑🏻‍💻博客 song.al 📷浮生东京 @LifeJapan Buy ads: https://telega.io/c/AppDoDo
APPDO娱乐炒币版,@appdododo,https://t.me/appdododo,,,,removed,2024-09-30,2026-07-08,,,,
APPDO的互联网记忆,@appdopic,https://t.me/appdopic,频道,资讯新闻,16000,live,2026-07-15,2026-08-28,-1001728616195,2026-08-26,,本频道由多人编辑发布，不代表任何个人观点； 📨欢迎投稿/商务合作：@appdo_bot 购买ADs：telega.io/c/appdopic
Appinn Talk 💧 小众软件,@appinn,https://t.me/appinn,群组,数码社群,8400,live,2024-09-30,2026-08-28,-1001002053386,2026-08-28,,小众软件 appinn.com 本群链接： https://t.me/appinn 新消息频道： https://t.me/appinnfeed 本群采用自动 bot 进行验证和广告拦截，未触发验证可尝试重新申请，如遇误杀请联系管理员： @goddaneel 公开群，禁开漏点车； 禁止黑产、币圈和赌博类广告； 不欢迎纯广告用户名； 发广告请先混眼熟， 发广告请先混眼熟， 发广告请先混眼熟！ 进群就发广告，踢！
Appinn Feed｜小众软件,@appinnfeed,https://t.me/appinnfeed,频道,软件综合,32900,live,2026-07-15,2026-08-28,-1001073712343,2026-08-27,,这里有小众软件和发现频道的内容更新，以及一个绑定的私有群组。 💬 吹水群：https://t.me/appinn 📖 RSS 订阅地址：https://feeds.feedburner.com/apipnntgfeed 📣 发现频道 @appinnfaxian 在这个频道发布广告（Buy ads on this channel）: https://telega.io/c/appinnfeed
 Apple Nuts,@applenuts,https://t.me/applenuts,频道,资讯新闻,36700,live,2026-07-15,2026-08-28,-1001079757039,2026-08-25,,🍎 一个特别的 Apple 频道 💡Let’s Think Different. 讨论组 @OnlineAppleUserGroup
Apple TV,@AppleTVPlus,https://t.me/AppleTVPlus,,,,removed,2024-09-30,2026-07-08,,,,
APP喵,@appmew,https://t.me/appmew,,,165300,live,2023-07-30,2026-08-28,-1001248406598,2026-08-27,,发现分享好用 APP 软件，优质 资源，限免，游戏，网站，极客，教程，各种 网络 黑科技，节点，免费VPN，影视 等 关注我，喵！ 群聊：https://t.me/appmiao 资源：https://www.appmiu.com 精选：https://www.appmiao.com 广告合作： @miaobbbbb
APP喵,@appmiao,https://t.me/appmiao,,,1700,live,2024-09-30,2026-08-28,-1003820950007,2026-08-28,,原账号被盗，频道已经被坏人接管。 新频道：https://t.me/amiaoapp 听音乐：/search@music_v1bot + 歌名
AppPie,@apppie,https://t.me/apppie,频道,资讯新闻,3400,live,2026-07-15,2026-08-28,-1001330973808,2026-08-26,,🌐 网站 apppie.com 欢迎来到 AppPie！我们热衷于探索 Apple 世界的最新变化，并为你筛选出能真正提升体验的高品质应用。 💬 关联群组: @AppPieGroup
Apps推荐&抽奖&活动,@appssweepstakesnews,https://t.me/appssweepstakesnews,频道,资源分享,8500,live,2026-07-15,2026-08-28,-1001413646788,2026-08-27,,推送不限于Apps抽奖活动相关资讯，欢迎转发！ 如打扰请关闭通知 抽奖请关注： https://t.me/Ant_AppsSweepstakes 正月十五关门
亚洲美女 Asia Girls,@asiacutegirls,https://t.me/asiacutegirls,频道,壁纸&图片,3700,live,2026-07-15,2026-08-28,-1001063592841,2026-08-27,,亚洲美女 Asia Girls
树洞,@atreehole,https://t.me/atreehole,频道,博客杂谈,5100,live,2026-07-15,2026-08-28,-1001423488461,2026-08-26,,树洞是一个匿名分享秘密和诉说心事的地方。可以将自己的秘密匿名分享在树洞里，获得其他网友的建议与关注。 树洞入口 @TheTreeHoleBot 输入的消息将显示在这里，完全匿名。 本频道对所有人开放，任何人均可访问，因此您可能需要为自己的言论负责。 管理员将根据心情删政治言论 规则 ： ① 树洞≠聊天室 ② 指名或影射他人的信息删 ③ 适度版聊 ④ 说话太脏删 ⑤ 冒充管理员删 暂不开放图片发送功能，以免被苹果封！ 昵称有效期一天
羽衣,@atri_bili_bot,https://t.me/atri_bili_bot,机器人,消息收发,,live,2025-02-05,2026-08-28,7419559180,2026-07-11,,
每天听本书 Chat,@audiobook_pd,https://t.me/audiobook_pd,群组,小说阅读,1800,live,2026-07-15,2026-08-28,-1002137928007,2026-08-28,,📚每天半小时，搞懂一本书 频道： @tingshushare
author_1024_day,@author_1024_day,https://t.me/author_1024_day,群组,主机vps,,live,2026-07-15,2026-08-28,-1004470380445,2026-08-28,,（暂无描述）
ClawBot,@autodeletead_bot,https://t.me/autodeletead_bot,机器人,群组管理,,live,2025-02-05,2026-08-28,1606940395,2026-07-11,,
秋风のとおり道,@AWAvenue,https://t.me/AWAvenue,频道,软件综合,26000,live,2023-07-30,2026-08-28,-1001395283134,2026-08-27,,一个常年秋风萧瑟的频道 🍂 遇见，观察，思考，学习，感悟。 个人向博客类频道，会分享一些有趣的； 频道内容允许转载，转载请带来源； 没事可以来附属群组吹水。 广告联系: @SuperCowboy Tips： 评论请加群，指纹入群验证； 不欢迎政治/血腥/黑灰等不宜讨论的话题 频道所有资源仅供学习交流，不得用于任何形式的商业活动，所有可供下载的内容请于下载后24小时内删除。 频道所有软件严禁在国内任何平台传播。 频道消息不代表本频道观点。
AWAvenue Ads Rule,@awavenueadsrule,https://t.me/awavenueadsrule,频道,软件综合,3800,live,2026-07-15,2026-08-28,-1002068418094,2026-08-27,,最佳轻量级网络层广告拦截解决方案. The best lightweight network-layer adblock solution. Official：https://AWAvenue.top Official：https://doc.awads.cc Github：https://lIlllllllI.llIlI.lI
ChatGPT 精选,@awesomechatgpt,https://t.me/awesomechatgpt,频道,资讯新闻,14800,live,2026-07-15,2026-08-28,-1001967944554,2026-08-25,,ChatGPT 精选资源
一起偷偷观察 DIYgod,@awesomediygod,https://t.me/awesomediygod,频道,博客杂谈,4100,live,2026-07-15,2026-08-28,-1001120166141,2026-08-27,,频道由 RSSHub 强力驱动，频道目录： 🐦 #DIYgod的Twitter更新 📝 #DIYgod的博客更新 🎶 #DIYgod喜欢的网易云音乐 📺 #DIYgod的豆瓣动态 🎥 #DIYgod的bilibili投稿 🎮 #DIYgod的PSN奖杯 🔖 #DIYgod的RSS订阅 讨论组 @prpr233
8度频道,@badupindao,https://t.me/badupindao,,,,removed,2023-10-29,2025-01-31,,,,
百度网盘中转&通知频道,@baiduclouddisk,https://t.me/baiduclouddisk,频道,资源分享,2300,live,2026-07-15,2026-08-28,-1002997183106,2026-08-28,,（暂无描述）
白丝即正义,@baisi,https://t.me/baisi,频道,壁纸&图片,164000,live,2023-07-30,2026-08-28,-1001088679595,2026-08-27,,本频道会不定时推送一些绅士老爷们喜闻乐见的福利 闲聊＆报错＆申诉: @nekopara 关联频道: @moepic @nekosc @MagicCabal
agou的胡言乱语,@bakadog,https://t.me/bakadog,频道,博客杂谈,865,live,2026-07-15,2026-08-28,-1001590712600,2026-08-27,,（暂无描述）
搬瓦工 (BandwagonHost),@bandwagonhostgroup,https://t.me/bandwagonhostgroup,群组,主机vps,10100,live,2026-07-15,2026-08-28,-1001124575803,2026-08-24,,搬瓦工中文网交流群，除了黄赌毒、政治、反动、清真、广告外，话题随意。禁止谩骂、人身攻击，禁止发布任何交易信息，违者永封。 网址：https://www.bandwagonhost.net 短域名：https://bwg.net 补货推送频道：https://t.me/BandwagonHostNews 如需发送图片：@BandwagonHostGroup2
半半半半半夏,@banxiaqwq,https://t.me/banxiaqwq,,,,removed,2025-04-26,2026-07-08,,,,
宝藏女孩·爱酱,@BaoZang,https://t.me/BaoZang,,,,removed,2023-07-30,2024-12-22,,,,
BBC中文 全文 实时推送,@bbczhongwen_rss,https://t.me/bbczhongwen_rss,频道,资讯新闻,24500,live,2026-07-15,2026-08-28,-1001419685736,2026-08-26,,[RSS全文订阅 实时更新] 知乎日报 @zhihuribao_rss 纽约时报 @niuyueshibao_rss BBC中文 @bbczhongwen_rss 路透中文 @lutouzhongwen_rss 美国之音 @meiguozhiyin_rss FT中文网 @ftzhongwen_rss 双语新闻 @shuangyunews_rss 早起读书 书友群 @ideahub_ml
8度频道,@bdpd8,https://t.me/bdpd8,,,,removed,2023-07-30,2023-10-22,,,,
百度网盘综合频道,@bdwpzhpd,https://t.me/bdwpzhpd,频道,影音资源,49800,live,2026-07-15,2026-08-28,-1002110524172,2026-08-26,,为了更高质量的分享 度盘用户建议挂载后观看
🎖美女精选🎖,@beautygirls9527,https://t.me/beautygirls9527,频道,NSFW,28300,live,2026-07-15,2026-08-28,-1001150216752,2026-08-27,,（暂无描述）
Legado Beta,@beta_legado,https://t.me/beta_legado,群组,软件社群,6000,live,2026-07-15,2026-08-28,-1002095285416,2026-08-28,,Beta发布通知频道： @Legado_Beta Beta发布讨论群组： @Beta_Legado
【BGG】本子盲盒 📦,@bgg_box,https://t.me/bgg_box,频道,NSFW,2100,live,2026-07-15,2026-08-28,-1002767761335,2026-08-28,,⁡ 这里是频道 @BGG_Comics 的原档仓库，但是盲盒 防失联 @BGG_Home ⁡ 投稿 / 报错 / 反馈 / 广告 / 合作互推 / 赞助支持 @BGG_Official_Bot ⁡
【BGG】AV精彩时刻 🌸,@bgg_jav,https://t.me/bgg_jav,频道,NSFW,184,live,2026-07-19,2026-08-28,-1002515367529,2026-08-25,,⁡ 这是一个个人频道，会随缘发看过的av。 防失联 @BGG_Home ⁡ 投稿 / 报错 / 反馈 / 广告 / 合作互推 / 赞助支持 @BGG_Official_Bot ⁡
【BGG】本子观察室 🍀,@bgg_observation_room,https://t.me/bgg_observation_room,频道,NSFW,1100,live,2026-07-19,2026-08-28,-1003190497874,2026-08-25,,⁡ 记录本子里的“奇思妙想”。 防失联 @BGG_Home ⁡ 投稿 / 报错 / 反馈 / 广告 / 合作互推 / 赞助支持 @BGG_Official_Bot ⁡
【BGG】把烧鸡端上餐桌 🍗,@bgg_porn,https://t.me/bgg_porn,频道,NSFW,279,live,2026-07-19,2026-08-28,-1002517269238,2026-08-25,,这是一个个人频道，随缘发看到的骚鸡 防失联 @BGG_Home ⁡ 投稿 / 报错 / 反馈 / 广告 / 合作互推 / 赞助支持 @BGG_Official_Bot ⁡
【BGG】好色之图 📸,@bgg_saob,https://t.me/bgg_saob,频道,NSFW,196,live,2026-07-19,2026-08-28,-1002345560410,2026-08-25,,⁡ 这是一个个人频道，会随缘发看过的美图。 防失联 @BGG_Home ⁡ 投稿 / 报错 / 反馈 / 广告 / 合作互推 / 赞助支持 @BGG_Official_Bot ⁡
【BGG】色图！好多色图！🥰,@bgg_setu,https://t.me/bgg_setu,频道,NSFW,15800,live,2026-07-19,2026-08-28,-1002524198553,2026-08-25,,⁡ 这是一个个人频道，随缘发看到的色图，但追求质量（色气 防失联 @BGG_Home ⁡ 投稿 / 报错 / 反馈 / 广告 / 合作互推 / 赞助支持 @BGG_Official_Bot ⁡
乌鸦观察,@bigcrowdev,https://t.me/bigcrowdev,,,,removed,2023-07-30,2025-02-05,,,,
哔哩哔哩 表情/装扮 存档,@bilibili_skin,https://t.me/bilibili_skin,频道,表情贴纸,12700,live,2026-07-15,2026-08-28,-1001932767932,2026-08-28,,（暂无描述）
英语双语书分享,@bilingualbook,https://t.me/bilingualbook,频道,书报刊漫,3100,live,2026-07-15,2026-08-28,-1002057162693,2026-08-27,,精选全球热门英语书籍，通过沉浸式翻译，将它们转化为精美的中英双语版本。在这里找到心仪的书籍，轻松提升英语水平，同时享受阅读的乐趣。
BiliPai Chat,@bilipaii,https://t.me/bilipaii,群组,数码社群,1300,live,2026-07-15,2026-08-28,-1003390829547,2026-07-13,,开源地址：https://github.com/jay3-yy/BiliPai 友善交流禁黄禁毒禁政，不欢迎踩一捧一和引战言论，不要在群里发广告
B站充电视频分享,@bilisvip2,https://t.me/bilisvip2,频道,影音资源,15800,live,2026-07-15,2026-08-28,-1002749321279,2026-08-26,,一个分享B站充电视频的频道
小岛电波,@biubiubiuchat,https://t.me/biubiubiuchat,,,,removed,2023-07-30,2026-07-08,,,,
壁纸 | Wallpaper,@bizhi123,https://t.me/bizhi123,频道,壁纸&图片,24100,live,2026-07-15,2026-08-28,-1001361810473,2026-08-27,,喜欢请多多分享，谢谢！
壁纸分享·爱酱,@BiZhiSo,https://t.me/BiZhiSo,,,,removed,2023-07-30,2024-12-22,,,,
黑科技软件资源分享交流群,@blacktechsharing,https://t.me/blacktechsharing,群组,资源分享,21600,live,2024-09-30,2026-08-28,-1001541180109,2026-08-28,,误封联系 @kklove
瞎玩菌 #SFW,@blindgamer,https://t.me/blindgamer,频道,资讯新闻,10800,live,2023-07-30,2026-08-28,-1001174453949,2026-08-25,,🕹 聚焦 PC / 主机游戏，分享游戏见闻，晒趣图，赏视频。 🗣 加入玩家群组，一起聊天、组队、吐槽皆可，这里欢迎萌新。 📲投稿 / 私聊请联系 @BG_pm_bot 更多请看置顶信息。
碧蓝档案 ブルアカ音乐馆,@bluearchive_soundtrack,https://t.me/bluearchive_soundtrack,频道,影音资源,4400,live,2026-07-15,2026-08-28,-1002003142571,2026-08-26,,收集碧蓝档案音乐原声 官方ASMR 同人音乐作品 ACG音乐原声 感谢（排名不分先后）: 夏莱地下室 @baxlhq0721 鸫酱の茶室 @myds_daily 黄油 精品黄油 @eroBanXia 档案音乐备份 @BlueArchiveMusicChannel
青鸟的频道,@bluebird_channel,https://t.me/bluebird_channel,频道,博客杂谈,7900,live,2023-07-30,2026-08-28,-1001163920983,2026-08-26,,青鸟的日常和吐槽和段子和群友故事
读舍 FM,@bookcn,https://t.me/bookcn,频道,书报刊漫,4000,live,2026-07-15,2026-08-28,-1001153165071,2026-08-27,,享受阅读时光 🌍 官方网站： https://shu.fm 👥 群组讨论：「读舍」 @shufm 📻 播客：苹果播客｜小宇宙｜Google Podcast｜Spotify 搜索「读舍FM」
书之领域图书馆,@booksrealm,https://t.me/booksrealm,频道,书报刊漫,15000,live,2026-07-15,2026-08-28,-1002045628294,2026-08-27,,在书的海洋翱翔 把时间留给阅读 多种格式的综合书籍资源分享下载频道
计算机与部分其他种类书籍资源,@bookusefor2,https://t.me/bookusefor2,频道,书报刊漫,18800,live,2026-07-15,2026-08-28,-1001189167288,2026-08-27,,收集一些与互联网相关或自己觉得有价值的书籍 系列频道 @bookusefor5 漫画书籍资源整合 @bookusefor4 普通休闲书籍资源 @bookusefor2 计算机与部分其他种类书籍资源 @bookusefor3 计算机类书籍 @jumpto22222 目录频道 中信出版社书籍 清华大学出版社书籍 电子工业出版社书籍 牛津通识读本中亚正版 【74册】走向未来丛书 理想国译丛 M系列（共42册） 商务印书馆汉译世界名著 .....
计算机类书籍,@bookusefor3,https://t.me/bookusefor3,频道,书报刊漫,26700,live,2026-07-15,2026-08-28,-1001234348768,2026-08-27,,收集偏计算机专业化的书籍 系列频道 @bookusefor5 漫画书籍资源整合 @bookusefor4 普通休闲书籍资源 @bookusefor2 计算机与部分其他种类书籍资源 @bookusefor3 计算机类书籍 @jumpto22222 目录频道 机械工业出版社黑皮书 众筹电子书 计算机相关书籍 图灵书籍 81个心理学分支 机械工业出版社计算机类1500本
好书分享频道,@Bookworm_Bibliophile,https://t.me/Bookworm_Bibliophile,,,,removed,2023-07-30,2025-02-05,,,,
机器人收藏夹| BotList,@botfans,https://t.me/botfans,频道,导航索引,9400,live,2026-07-15,2026-08-28,-1002380688332,2026-08-28,,（暂无描述）
BotFather,@BotFather,https://t.me/BotFather,机器人,TG官方,,live,2025-02-05,2026-08-28,93372553,2026-07-11,,
快乐星球 | 妹子图 | 收集器,@botmzt,https://t.me/botmzt,频道,壁纸&图片,52900,live,2023-07-30,2026-08-28,-1001109579085,2026-08-27,,#美女 #妹子 #精选 #全网 #中文 快乐星球 @imeizi 联系我们 @shoujiqibot 开眼精选 @Kaiyan 所有资源出自互联网收集整理，本频道不参与制作，如果侵犯了您的合法权益，请联系我们删除。
Telegram Bot Talk,@bottalk,https://t.me/bottalk,群组,兴趣社群,26300,live,2026-07-15,2026-08-28,-1001311056733,2026-08-24,,Welcome to Bot Talk! 😌 Be nice 🗣 Please use English so everyone can participate 🤖 Keep the topic on bot development ⚠️ Keep media posts like GIFs and stickers to a minimum ❌ Adding/using a bot here = BAN More info - https://t.me/BotTalk/608888
