Channel name,Handle,t.me link,Type,TGNAV category,"Subscribers (TGNAV, 2026-08-29)",Status on TGNAV,First listed on TGNAV,Last listed on TGNAV,Telegram ID,TGNAV updated,Why flagged,Description (TGNAV)
免费机场VPN订阅分享,@free166,https://t.me/free166,频道,机场测试,5300,live,2026-07-15,2026-08-28,-1001651808368,2026-08-28,TGNAV category 机场测试,@Free167_Bot 投稿助手 欢迎机场老板投稿～
破解VPN机场软件⚡️,@fun_vpn,https://t.me/fun_vpn,频道,机场测试,151600,live,2026-07-15,2026-08-28,-1001226587541,2026-08-28,TGNAV category 机场测试,破解VPN机场软件
机场交流群 | 吃瓜群众,@jichang_user,https://t.me/jichang_user,群组,兴趣社群,27100,live,2024-09-30,2026-08-28,-1001379805798,2026-08-24,airport/node topic in name,（暂无描述）
橘子综合资源分享中心,@juzibaipiao,https://t.me/juzibaipiao,频道,机场测试,24400,live,2026-07-15,2026-08-28,-1001506497974,2026-08-28,TGNAV category 机场测试,TG代理MTProto/socks5直连telegram 每天更新TG代理和白嫖节点以及订阅 投稿请联系 @flashovo 或者 @juzi12138bot @juzi_8186 ✅付费定制代理小店 https://juzi.tg18.cc/ 交流群 https://t.me/juzi66 #橘子白嫖频道 #橘子TG代理频道 #橘子综合资源分享中心
𝒍𝒊𝒍𝒚的小窝,@lily_yaya,https://t.me/lily_yaya,频道,机场测试,22800,live,2026-07-15,2026-08-28,-1002059012490,2026-08-28,TGNAV category 机场测试,𝒍𝒊𝒍𝒚 的发疯日常 聊天室： https://t.me/lilydeyaa 有事联系： @lily666888 Emby问题找客服 @embysupport_bot 小东西 ： https://t.me/lily_yaya/496 目前有机场测评、公益订阅、emby公益服、公益测速、公益开源项目
冬瓜滴小社,@ltscxk,https://t.me/ltscxk,频道,机场测试,3500,live,2026-07-15,2026-08-28,-1001862264271,2026-08-28,TGNAV category 机场测试,频道主 双向 @chat_dg_bot 群组 @ltsjsq 荔枝不涩涩
免费资源 白嫖机场vpn存放窝,@mfbp1,https://t.me/mfbp1,频道,资源分享,20200,live,2026-07-15,2026-08-28,-1002093688877,2026-08-27,airport/node topic in name,频道👉 @mfbp1 聊天 👉 @mfbp11 投稿👉 @qr666bot
永久免费节点,@mfjd666,https://t.me/mfjd666,频道,机场测试,161,live,2026-07-15,2026-08-28,-1003787025245,2026-08-28,TGNAV category 机场测试,节点每日更新 喜欢的话转发支持一下吧 聊天讨论群 @wzchatgpt2023 💁‍♂️ 接受赞助 @wz9527wz 免责声明：分享的所有资源均来源与网络，仅限学习测试使用，如有侵权联删
免费节点频道,@mfjdpd,https://t.me/mfjdpd,频道,机场测试,31200,live,2026-07-15,2026-08-28,-1001744815936,2026-08-28,TGNAV category 机场测试,商务合作， @badukeji01 免费节点，破解vpn，破解机场。 网站: https://jichangvpn.cloud
跑路日报 | PaoLuDaily 📰,@paoludaily,https://t.me/paoludaily,频道,资讯新闻,1400,live,2026-07-15,2026-08-28,-1001856975668,2026-08-25,airport/node topic in name,Redirect to @PaoluNews
机场价格公告板,@pricecentre,https://t.me/pricecentre,频道,机场测试,3200,live,2026-07-15,2026-08-28,-1001191729410,2026-08-28,TGNAV category 机场测试,价格来自投稿，机场主提供，cloudtest及机场花名册频道
Project X Channel,@projectxtls,https://t.me/projectxtls,频道,机场测试,29800,live,2026-07-19,2026-08-28,-1001408690055,2026-08-25,TGNAV category 机场测试,Donation: https://github.com/XTLS/Xray-core/issues/3668 中文群组：https://t.me/projectXray Русский: https://t.me/projectVless Persian: https://t.me/projectXhttp GitHub: https://github.com/XTLS
TG高速代理-免费代理公益加速器节点vpn,@qiuyue2,https://t.me/qiuyue2,频道,机场测试,106300,live,2026-07-15,2026-08-28,-1001605231248,2026-08-28,TGNAV category 机场测试,欢迎加入我们的Telegram频道！ 我们提供高速、稳定的免费飞机机场代理服务，助您畅享全球内容。无论是机场加速器还是免费代理亦或者是VPN，我们都为您提供最佳的网络体验。立即关注，体验极速上网！ 商务联系 @wending3
小火箭VPN官方频道,@rktun001,https://t.me/rktun001,频道,机场测试,32500,live,2026-07-15,2026-08-28,-1002078593062,2026-08-28,TGNAV category 机场测试,官方通知频道 有问题请联系客服@rocketvpn001_bot 官网 https://rktun.com
白嫖机场节点VPN免费分享频道,@wfvpn,https://t.me/wfvpn,频道,机场测试,38600,live,2026-07-15,2026-08-28,-1001983332672,2026-08-28,TGNAV category 机场测试,通知频道 @WFVPN 通知群组 @WMVPN 商务合作 @chennxii_bot
白嫖のHome｜节点｜VPN｜订阅｜资源分享,@zdyz2,https://t.me/zdyz2,频道,机场测试,29500,live,2026-07-15,2026-08-28,-1001790557359,2026-08-28,TGNAV category 机场测试,"白嫖机场，节点，VPN免费，代理，梯子，ss，ssr，vmess，trojan，vless，订阅，clash，v2ray，apk，科学上网，订阅，奈飞，Disney，dazn，流媒体账号apk 破解软件,support Iran 吃瓜 open for the whole world 广告位招商联系👉 @tougao_test_bot （机场广告位已满） 投稿👉 @tougao_test_bot"
