username,name,first_seen,last_seen,removed_on,removal_commit,removal_commit_msg,times_listed
xiangli11,小黎画师分享,2025-02-16 11:22,2025-04-26 15:59,2025-04-26 16:05,2afac842d,更新频道,1
YunRan1314,[NSFW]韵の小院,2025-02-16 11:22,2025-04-26 15:59,2025-04-26 16:05,2afac842d,更新频道,1
hannelhalls,频道藏馆,2025-04-24 16:27,2025-04-26 16:05,2025-04-26 16:09,fbaa9bc09,修复,1
yuyeweimian,『雨夜凉亭』ACG频道,2025-02-16 11:22,2025-05-03 14:07,2025-05-03 15:18,2b014a5f1,修复一些问题,1
yunpanpan,阿里云盘盘,2023-07-30 14:38,2025-08-22 01:52,2025-08-28 18:42,9fb614115,Update webstack.yml,1
XiangxiuNB,肯德基4K影视发布频道,2024-10-02 13:46,2025-08-22 01:52,2025-08-28 18:42,9fb614115,Update webstack.yml,1
acg_nsfw,黄油聚集地|NSFW,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
acgwallpaper,ANIME壁纸,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
biubiubiuchat,小岛电波,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
btzhi,BT之家btjia电影频道,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
CN_DH,CN导航,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
EnjoyJK,JK精选,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
flac_file,音乐收藏夹,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
freeresource,免费资源,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
FriendChCodeList,FriendChCodeList,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
gaomutongxue,擅长搜索的高木同学,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
GDP_sc,GDP_信息安全,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
goumingdexiaojiejie,小瑜的老婆们,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
Hao12News,中文TG科技新闻,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
hgofxs,李老斯分享社,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
iamfinecollect,Fine Girls | 收集器,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
iosblackteckapp,iOS限免与优质应用推荐,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
iosfulishare,苓妹妹ios资源分享,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
iOSQuQ,白嫖资源分享-破解软件,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
jialeleya2233,萌图交流～色图也收，不要太过,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
kkaifenxiang,黑科技软件资源分享,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
laosiji100,美女写真,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
LifeJapan,浮生东京,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
linyunbook2,笔记本：好图收藏与整理：壁纸,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
littlebunnyup,A tiny cute warren,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
mactalk,卖桃者说,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
meinv1916,仙女坊,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
MikuArt,Miku Art,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
moemeizi,萌妹子聚集地,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
MTXFXS,漫天星分享社-破解软件,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
Mzitu,妹纸图,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
NyarimeW,来杯奶昔,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
onesees,一览,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
OOAPK,破解软件分享频道,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
opencfdchannel,开源社区,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
ovo_123,萌图_v2,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
Piyano_blog,Piyano's Blog,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
pj_cn,精品软件分享（破解版）,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
pjrjzy,破解软件资源分享,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
pojieshare,安卓免费破解软件分享,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
Qikan2023,杂志｜期刊｜考研,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
recommend3,频道索引&推荐,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
ShortcutsCN,树洞 群友问 万事答,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
shumozy,书墨资源,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
teleindex,索引频道,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
tgcnxz,Telegram中文社群-收藏夹,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
TheWebGuide,全网漫游指南,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
tl_gc,电报群组&频道,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
TVbox888,TVBox,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
winmods,电脑破解免费分享,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
woniubuchuiniu,每日分享频道,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
writing_discuss,写作交流,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
xiangyues,享悦频道,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
yachme,Yachen's Channel,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
yeqingjie_GJG666,爷青回动画分享频道,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
youzhi_info,优质群组频道推荐,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
yqc_123,浥轻尘の资源分享,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
yuri_on1y,[NSFW]守护最好的百合,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
yxzbp,严选之白嫖,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
zaihuayun,阿里云盘资源,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
ziyuan917,优质网站汇总频道,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
ZWAPK,优质软件中文VPN,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
sogo333,TG资源工具箱,2023-10-06 14:25,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,2
acgxhy,黄游小仓库,2023-12-25 15:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
clbfxs,曹老板白嫖分享社,2024-02-02 13:31,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
ourvideoworld,画境官方频道,2024-09-17 08:47,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,2
acg_moe,ACG萌,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
AndroidDevCn,Android Dev,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
appdododo,APPDO娱乐炒币版,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
AppleTVPlus,Apple TV,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
Brahmanjg,TG号出售|代开会员,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
cemiuiler,HyperCeiler | Chat,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
Clanguagezh,C语言中文交流,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
cnphotog,[税100%] 摄影,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
cosplaysharegroup,動漫遊戲Cosplay群組,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
DHDAXCW,"X86,ARM,NAS研究群",2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
dockertutorial,Docker,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
DocOfCard,卡粉群临时群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
douban_discuss,豆瓣讨论,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
galgame,Galgame同好会,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
googlevoice,Google Voice交流群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
goV2EX,V2EX后花园v2.0,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
gpt_user,ChatGPT AI,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
group_shouliumeiyizhifuyou,收留每一只蜉蝣官方群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
homelab520,恩山论坛用户,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
kejiquchat,科技&趣闻,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
KernelSU_group,KernelSU Group,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
LdFriend,LD收藏夹交流,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
lilydeyaa,Lily的聊天室,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
Liyuxuanxue,国学 玄学 风水,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
MEME981211,柠萌 讨论群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
mio_house,梓澪の妙妙屋,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
MoeMeta,Moe Team,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
nagram_group,N(a|nn)gram,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
nekopara,虚数学区,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
OnlineAppleUserGroup,库克的后厨,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
open_source_community,Open Source Community,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
P_Y_T_H_O_N,python自学交流,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
pan_icu,《内核恐慌》听众群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
paoluqun,外语学习跑路群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
pdcn3,老毛子Padavan固件,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
plus8889,彭于晏iOS讨论交流群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
QingjuACG_Chat,青桔ACG,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
QuanXApp,Quantumult X,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
ruanlu,RouterGroup|软路由|硬路由,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
se_talk,SE-索引社群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
shadiaoo,沙雕根据地,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
shufm,读舍-享受阅读时光,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
shumeipai,树莓派Raspberry Pi,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
shumozyfx,书墨资源分享交流群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
simfans,全球Sim卡爱好者交流群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
tsukigroup,夏tsuki的回收站,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
vpschat,全球主机交流中心,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
vpsxinhaoqi,VPS信号旗技术讨论组,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
WeiyouTuwu1,未由土屋,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
wolfgang88,TG小树屋｜Chat,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
xinjingdailychatroom,心惊报根据地,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
xpyanjiusuo1,以涩图之名,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
ycq_777,浥轻尘の破解库交流群组,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
Yiology,易学论道|科学变化,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
youyousharegroup,油油资源分享chat,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
yummy_best,Yummy's Small Talk,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
ywtrzm,亿万同人唯一指定官方群,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
zaihuachat,茶馆の在花,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
GVsPbot,GVsPbot 群管机器人(多语言版）,2024-11-04 10:42,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
zaihuanews,科技圈 在花频道,2024-12-22 16:31,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
zh_secretary,SE-索引公告板,2024-12-22 16:31,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
afoolrobot,阿福,2025-02-05 15:12,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
ddm1023,叮当猫iOS资源脚本分享频道,2025-02-05 15:12,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
FontChangerYBot,Font Changer Bot,2025-02-05 15:12,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
pornographic_animation,里番文化遗产工程：索引,2025-02-05 16:00,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
aipojujlb,热门游戏资源,2025-02-16 11:22,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
COSYiMi,Coser展馆,2025-02-16 11:22,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
HY_QingYan,陌上花开轻烟阁,2025-02-16 11:22,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
banxiaqwq,半半半半半夏,2025-04-26 15:59,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
dayuyufuhuo,一起钓大鱼,2025-04-26 16:05,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
eroBanXia,黄油 精品黄油,2025-04-26 16:05,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
xianli202505,小黎画师分享,2025-04-26 16:05,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
YunRan233,韵の小院,2025-04-26 16:05,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
duteba,独特吧,2026-06-07 02:10,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
amiaoapp,APP喵-阿喵科技资源共享,2026-06-14 17:53,2026-07-08 03:19,2026-07-15 00:07,150a9f588,test new version,1
TestFlightCN,Testflight新闻投稿,2023-07-30 14:38,2026-08-16 01:00,2026-08-18 08:50,bb64a2ec2,data update,2
Mp3_999,音乐云,2023-07-30 14:38,2026-08-18 08:50,2026-08-21 16:00,dad62005f,data update,1
Oscar_4Kmovies,,2024-10-02 13:46,2026-08-18 08:50,2026-08-21 16:00,dad62005f,data update,1
XiangxiuNBB,,2025-08-28 18:42,2026-08-18 08:50,2026-08-21 16:00,dad62005f,data update,1
globalfunnews,吃瓜偷乐曝光黑料分享,2026-07-15 00:07,2026-08-18 08:50,2026-08-21 16:00,dad62005f,data update,1
yingshizhijia,影集🎬4K高清电影在线看,2026-07-15 00:07,2026-08-18 08:50,2026-08-21 16:00,dad62005f,data update,1
xiangyan91copy,吃瓜视频战争头条新闻,2026-07-15 00:07,2026-08-21 16:00,2026-08-28 16:00,181e20cd3,data update,1
