"graf_id","docname","year","wc","country","speech_id","paragraph_text","count","disasters","emissions","global warming","renewables","total_cc","model_actions","model_reasons","about_cc","paragraph_summary","topic","reason","row_id","is_crisis","crisis_reason"
"speech116_graf2","text788",2000,116,"FRA","speech116","While the year 2000 was celebrated around the world as the beginning of a new era, it was, in reality, a time of heightened awareness. We became more conscious of the risks that human activity and innovation can pose when they are not properly managed. The December 1999 storms, perhaps linked to global warming; the Erika oil spill; the mad cow disease crisis – all of which Europe, at the initiative of France, is now fully confronting. These are all consequences, direct or indirect, of a modernity that is insufficiently controlled and insufficiently concerned with the well-being of people and their future.",1,1,0,1,0,2,"Kept count of 'storms' | Kept count of 'global warming'","storms: Refers to extreme weather events explicitly linked to global warming. | global warming: Refers to the Earth's climate system and temperature rise.",1,"The president reflects on environmental and health crises at the turn of the millennium as consequences of inadequately managed human activity and modernity.","climate","Identified via dictionary pipeline",140,"yes","The paragraph frames environmental and health issues as serious threats resulting from human activity, explicitly categorizing them as crises that demand attention."
"speech116_graf7","text793",2000,155,"FRA","speech116","It must be a productive year for our planet, our shared heritage that we will pass on to our children. It does not belong to us. Today, the problems are identified. Solutions exist to better guarantee food security, to make our seas and oceans safer and cleaner, to conserve our natural resources, and to address issues such as global warming. These solutions require international cooperation. They are not easy to implement. We are moving in the right direction, but too slowly. France is fighting for a sense of collective responsibility to prevail over individual interests. This must be the goal of all of Europe. And I hope that 2001 will be a year of progress for the environment, for our natural heritage, for the colors of our daily lives, and for the quality of our lives.",1,0,1,2,0,3,"Kept count of 'cleaner' | Kept count of 'global warming' | Kept count of 'environment'","cleaner: refers to the environmental state of seas and oceans | global warming: refers explicitly to the Earth's climate system | environment: refers to the natural world and ecological progress",1,"The speaker calls for international cooperation and collective responsibility to address environmental challenges, including global warming and the conservation of natural resources.","climate","Identified via dictionary pipeline",145,"yes","The speaker frames environmental challenges and global warming as urgent issues requiring collective responsibility and international action, which constitutes a chronic threat framing."
"speech117_graf5","text803",2001,188,"FRA","speech117","The first duty of the state is to assume its responsibilities in the service of its citizens. It must find its place, fulfill its missions, while respecting the initiatives that come from the various forces within our society and our local authorities. It is responsible for solidarity – a vigilant solidarity that must not forget anyone. Solidarity for employment and in support of the most vulnerable. Solidarity between generations, through the preservation of our pensions. Solidarity also with the future, by respecting the environment and guaranteeing the sustainable development of our planet. The state is also responsible for republican equality – an equality that is threatened when insecurity grows, when the exercise of freedoms, the quality of life, and the quality of education depend on where you live, or the school you attend. The state, ultimately, is responsible for the supreme interest of the nation. Legitimate aspirations must be heard, but it is not acceptable for laws and rules to be disregarded in the name of particular interests.",1,0,0,1,0,1,"Kept count of 'environment'","environment: refers to the natural environment and sustainable development of the planet",1,"The president outlines the state's responsibilities regarding social solidarity, environmental sustainability, republican equality, and the enforcement of national laws.","climate","Identified via dictionary pipeline",152,"no","The paragraph describes routine governance and the standard responsibilities of the state rather than framing these topics as urgent threats or active dangers."
"speech119_graf3","text813",2003,159,"FRA","speech119","At the end of this year, I, like you, remember the deeply painful heatwave. I also remember the remarkable dedication of all those who mobilized, but also the shortcomings of our prevention and alert systems, which led the government to launch essential reforms. The year that is ending has been an important year for France. Insecurity was growing. It is now receding, including on our roads. Pensions were threatened. They have been safeguarded. Our taxes and charges were among the highest in the world. They have begun to decrease. State spending was spiraling out of control. It has now been stabilized. The 35-hour workweek was hindering activity. It has been eased. And all of this has been possible thanks to you, to each and every one of you. Your efforts are now enabling a return to growth.",1,1,0,0,0,1,"Kept count of 'heatwave'","heatwave: refers to an extreme weather event related to climate",1,"The President reviews the past year, highlighting climate challenges, government reforms in security, pensions, taxation, and labor, and the resulting return to economic growth.","climate","Identified via dictionary pipeline",162,"no","The paragraph focuses on government reforms and the resulting return to economic growth, which frames the situation as a recovery and achievement rather than an active, ongoing threat."
"speech122_graf1","text841",2006,297,"FRA","speech122","My dear compatriots, from mainland France, from overseas territories, and from abroad, as we stand on the eve of 2007, a year that will be particularly important for the future of our country, I extend to each and every one of you my warmest wishes from the bottom of my heart. And I think first of all of those who are struggling with loneliness, illness, and hardship. I also want to pay tribute to our soldiers, who are defending, throughout the world, peace and the values of France. Together, since I have the honor of serving you and representing you, we have been through considerable changes. We have a global economy in full expansion, and increasing competition, which also opens up new opportunities. There is the revolution of the internet, transforming the way we communicate, work, and live together. We live in a world where the overexploitation of natural resources is disrupting the climate and will endanger humanity if we do not act now. It is a world that is richer and poorer at the same time. A world marked by September 11th, terrorism, the war in Iraq, the crisis in the Middle East, and the absurd and irresponsible temptation of a clash of civilizations and cultures. Because I am passionately devoted to France, I am working to ensure that it takes its rightful place in this new world while remaining true to itself. I am working to ensure that every French person, and especially every young person, has the opportunity to succeed, wherever they live and whatever their background.",1,0,0,1,0,1,"Kept count of 'climate'","climate: refers to the Earth's climate system being disrupted by resource overexploitation",1,"The President reflects on global challenges, including economic shifts, climate change, and international conflicts, while reaffirming his commitment to French national success and opportunity.","climate","Identified via dictionary pipeline",190,"yes","The paragraph frames global challenges like economic shifts and international conflicts as threats to national success, indicating an urgent need for attention and commitment."
"speech122_graf8","text848",2006,134,"FRA","speech122","Finally, there is the environmental challenge. It is an immediate challenge, a political challenge. France is the first country in the world to have enshrined a Charter of the Environment in its constitution in 2005. In February, it will host an international conference to accelerate progress towards a World Environment Organization. But this fight must also be waged here, through profound changes in our behavior and our policies. It is a necessity, and it is an opportunity. With the need to invent an economy that is environmentally responsible, a new industrial revolution lies before us: that of sustainable development. It will be a source of growth and jobs, and France has all the assets to be its leader.",1,0,0,2,0,2,"Kept count of 'environment'","environment: refers to the natural environment and ecological protection",1,"The President discusses France's commitment to environmental policy, international climate leadership, and the economic potential of transitioning to sustainable industrial development.","climate","Identified via dictionary pipeline",197,"no","The paragraph focuses on the economic potential and leadership opportunities of sustainable development rather than framing the environment as an urgent threat or crisis."
"speech124_graf4","text859",2008,116,"FRA","speech124","During this period of crisis, the likes of which the world has not seen in a very long time, I have strived to change Europe. I have always believed that Europe should not simply react, but should instead take action and provide protection. With the coordinated response to the financial crisis, the resolution of the Georgian crisis, the creation of the Union for the Mediterranean, the agreement on climate and energy, we have demonstrated that it is possible. This was only a first step. We must continue, because I remain convinced that the world needs a strong, independent, and innovative Europe.",1,0,0,1,0,1,"Kept count of 'climate'","climate: explicitly linked to energy policy and environmental action",1,"The speaker highlights past European diplomatic and economic achievements while advocating for a stronger, more independent, and innovative European Union.","climate","Identified via dictionary pipeline",208,"no","The paragraph focuses on achievements and a vision for future development rather than identifying an urgent threat or danger requiring immediate crisis response."
"speech125_graf2","text866",2009,123,"FRA","speech125","As it appears that growth is on the horizon, we see that during this year, amidst all the challenges, a new world has begun to take shape. A new global order is emerging through the G20. Problems that have long caused great concern and seemed insurmountable, such as excessive bonuses and tax havens, are being addressed. Even the Copenhagen summit has opened a door to the future, by securing commitments from all nations to combat climate change and establishing a principle of financing for developing countries through the taxation of financial speculation. Europe has finally established the institutions that will enable it to act, and France has continued to transform itself.",1,0,0,1,0,1,"Kept count of 'climate change' | Dropped count of 'climate'","climate: Used as part of the phrase climate change, not as a standalone term. | climate change: Refers explicitly to global environmental policy and international commitments.",1,"The president discusses emerging global economic governance, international climate change commitments, and the strengthening of European institutions and French national reforms.","climate","Identified via dictionary pipeline",215,"no","The paragraph describes routine governance, institutional strengthening, and policy commitments without framing any of these topics as an urgent threat or a situation requiring emergency response."
"speech125_graf4","text868",2009,187,"FRA","speech125","Thanks to an unprecedented investment plan, we will be able to achieve the digital revolution, provide everyone with access to high-speed internet, digitize our books so that our language and culture can continue to flourish, and also create 20, 000 places in elite boarding schools to restore genuine equality of opportunity, and provide our higher education system and research institutions with substantial resources to succeed in the pursuit of excellence. Thanks to the Hadopi law, which will be implemented in 2010, our creators and artists will be protected. Thanks to the Grenelle de l'Environnement, we will be able to meet the challenge of protecting our environment. This is an area where it is particularly difficult to change mentalities and behaviors. But I am not a man who gives up at the first difficulty, and an ecological tax system that taxes pollution and exempts work is a major priority. From January 20th, the government will present a new plan to encourage consumers to make better choices and producers to produce sustainably.",1,0,0,1,0,1,"Kept count of 'environment'","environment: refers to the natural environment and ecological protection",1,"The president outlines national initiatives for digital infrastructure, educational equality, intellectual property protection, and environmental sustainability through tax reform and new government plans.","climate","Identified via dictionary pipeline",217,"no","The paragraph describes routine government policy initiatives and development plans rather than framing these topics as urgent threats or dangers to the state."
"speech129_graf3","text900",2013,291,"FRA","speech129","Finally, the nation must unite behind its education system, which must combine excellence in access to knowledge with a commitment to fighting inequality. 2014 will also be a year of bold decisions. Three are essential in my view. First, I want to reduce public spending. We must find savings wherever possible. And I am convinced that we can do better by spending less. This applies to the state, which must focus on its core missions, but also to local authorities, which must have their responsibilities clarified, and to the social security system, which is our most precious asset, and which must put an end to excesses – we know them – and abuses. Because they undermine the very idea of solidarity. We must spend less to reduce our deficit, but also to be able, in the long term, to lower taxes. That is the purpose of the tax reform we have launched. I myself will assume responsibility and oversee this program of savings throughout my term in office. Second, I want to simplify life for each and every one of you. For administrative procedures, for everyday tasks, for starting businesses, and for encouraging investment. Everything must be made easier. This is a condition for us to be more attractive, more modern, and more flexible. Finally, I want our country to complete its energy transition. The goals are clear: save energy, renovate our homes, fight climate change, support crafts, and a new industry that is emerging thanks to the energy transition.",1,0,0,1,0,1,"Kept count of 'climate change' | Dropped count of 'climate'","climate: The term is part of the phrase 'climate change' which is judged separately. | climate change: Explicitly refers to the environmental phenomenon and global warming mitigation.",1,"The president outlines a 2014 agenda focused on reducing public spending, simplifying administrative procedures, and advancing the national energy transition.","climate","Identified via dictionary pipeline",249,"no","The paragraph describes routine governance and policy objectives such as administrative simplification and spending reduction without framing them as urgent threats or dangers."
"speech129_graf4","text901",2013,244,"FRA","speech129","My dear fellow citizens, France has all the assets it needs to succeed. We are a nation of innovation, creativity, and ingenuity in every field. I think of that magnificent achievement, the development of an artificial heart, the first time this technique has been perfected in the world. I also think of transportation, with electric vehicles; agriculture, with green chemistry; the digital sector, where we are also among the best; and culture, where we have excellence. So, France will be strong if we can unite around what is essential: the economic, industrial, and productive future of our country over the next ten years. France will be strong if it remains united. If it builds more housing, reduces poverty, and better welcomes people with disabilities or those in need of care. France will be strong if it upholds its principles: security, which guarantees freedom; the independence of the judiciary, which ensures impartiality; and secularism, which is the foundation for living together. I will be uncompromising in the face of any transgression, against racism, antisemitism, and discrimination. The Republic is not negotiable. Laws are not negotiable. The French model is not negotiable either. Because it is what allows us to move forward, generation after generation.",1,0,0,0,1,1,"Kept count of 'electric vehicles'","electric vehicles: refers to low-emission transport technology in an environmental context",1,"The President outlines France's national strengths, economic goals, and commitment to social unity, security, and republican values.","climate","Identified via dictionary pipeline",250,"no","The paragraph focuses on national strengths, goals, and values, which are presented as positive attributes and routine governance rather than urgent threats or dangers."
"speech130_graf7","text911",2014,202,"FRA","speech130","2015, my dear fellow citizens, will also be a crucial year, and above all, a year for the planet. France will host the climate conference in December, bringing together all the heads of state and government from around the world. This is a wonderful opportunity for us to come together, to set aside our differences, to pool our strengths, and to give new meaning to progress. France must lead by example, as it already does with the energy transition law, which has already been passed by the National Assembly, and with the biodiversity law. Seventy years ago, France was capable of convening a major conference on universal human rights. Now, we must inspire the world to adopt a declaration on the rights of humanity, to safeguard our planet. And I will do everything possible to ensure that the conference in Paris, in 2015, is a success, because I want us to be able to look our children, and our grandchildren, in the eye, and proudly tell them that we contributed to preserving the entire planet.",1,0,0,1,0,1,"Kept count of 'climate'","climate: refers to the Paris climate conference and global environmental policy",1,"President Hollande outlines France's leadership role and objectives for the 2015 Paris climate conference to ensure global environmental preservation.","climate","Identified via dictionary pipeline",260,"no","The paragraph focuses on leadership objectives and international cooperation for a future conference rather than framing the environmental situation as an immediate, urgent threat requiring emergency action."
"speech131_graf9","text921",2015,107,"FRA","speech131","The success of the COP21 was a global event and a source of pride for France, which brokered an agreement between 195 countries in Paris to reduce climate change. This is a significant result. France now has a responsibility to implement what was decided for the planet. But we must also take the lead, and be an example. Therefore, we will launch a major public works program to renovate our buildings, to develop renewable energy sources, and to promote green growth. We will make the climate cause a major job creation and quality of life initiative.",1,0,0,3,2,5,"Kept count of 'climate' | Kept count of 'climate change' | Kept count of 'renewable' | Kept count of 'renewable energy'","climate: refers to the climate cause and global warming mitigation | climate change: refers to the global environmental phenomenon addressed at COP21 | renewable: refers to renewable energy sources for environmental sustainability | renewable energy: refers to sustainable energy sources for environmental policy",1,"France commits to implementing the COP21 climate agreement through a national program focused on building renovation, renewable energy, and green job creation.","climate","Identified via dictionary pipeline",273,"no","The paragraph describes a routine policy implementation and positive development focused on national programs and job creation rather than framing the situation as an urgent threat or danger."
"speech132_graf4","text928",2016,185,"FRA","speech132","My dear fellow citizens, five years as President have given me a wealth of experience, and I want to share that with you tonight: France is a country admired, expected, and even hoped for throughout the world. It is, perhaps, the legacy of our history, our language, and our culture, but above all, it is the respect inspired by our values, our way of life, and our commitment to freedom. That is what explains why, when we are attacked, the entire world stands with us. It is what gives credibility to France’s voice when advocating for important causes – I think of the fight against climate change, remember, it was in Paris that a historic agreement was reached; and given the pollution levels we are experiencing, it is imperative that we implement it. Therefore, I assure you: France will not allow anyone, or any nation, however powerful, to undermine this major achievement of the international community.",1,0,0,1,0,1,"Kept count of 'climate change' | Dropped count of 'climate'","climate: Used as part of the phrase climate change, not independently. | climate change: Refers explicitly to the global environmental phenomenon and agreement.",1,"The President highlights France's global influence and commitment to upholding the Paris Agreement on climate change despite international challenges.","climate","Identified via dictionary pipeline",278,"no","The paragraph focuses on the country's influence and commitment to an international agreement, which is framed as an achievement or diplomatic stance rather than an urgent threat requiring immediate crisis response."
"speech133_graf3","text937",2017,229,"FRA","speech133","The year ahead is one of many challenges, and we are building a significant portion of our future. For our rural areas, we must build access to mobile and digital technology, to transportation, and foster greater economic and social innovation. For our disadvantaged neighborhoods, we must enable economic and social mobility and fight against discrimination. For our farmers, we must ensure they can earn a dignified living from the prices they receive. For our overseas territories, which have suffered greatly in recent months, I want to extend a special greeting. We must adapt our regulations and build strong economic sectors that promote greater energy independence and job creation. For equality between men and women, we will also need legal changes and a renewed commitment from our entire society. For entrepreneurs and self-employed individuals, we will simplify regulations, finally realizing a right to make mistakes. For employees, we will enable lifelong learning and provide new forms of security. And for our civil servants, we will clarify their roles and our expectations, and reward their efforts. As you can see, all of these projects will shape the year 2018, and will require a full and unwavering commitment from the Prime Minister and his government.",1,0,1,0,0,1,"Kept count of 'energy independence'","energy independence: refers to energy policy and transition toward domestic energy security",1,"The President outlines the government's 2018 policy agenda, focusing on regional development, social equality, economic reform, and support for various professional sectors.","climate","Identified via dictionary pipeline",286,"no","The paragraph describes a routine policy agenda focused on development and reform without framing these issues as urgent threats or dangers."
